id,boundary,current_source,current_shape,consumers,required_adapter,fallback,empty_state,validation,cms_ownership_allowed_later
B-01,Organization identity,src/content/vz-content.ts#identity,"const object of string fields","chrome.ts headerTop/footer; liviza-about; liviza-contact; seo.ts SITE_NAME",getIdentity(): Identity | null,none,identity block omitted,"non-empty strings; no invented mandate/logo/authority",yes
B-02,Contact information,"src/content/vz-content.ts#identity.address/.phone/.phoneHref/.email",string,"pre-header; header phone; footer widget; /contact",getContactChannels(): ContactChannel[],none,channel omitted,"tel: href matches shown number; valid email",yes
B-03,Opening hours,"src/content/vz-content.ts#identity.hours/.hoursClosed",string,"pre-header; footer widget; /contact","ContactChannel kind=hours or structured weekly model",none,hours line omitted,no invented holiday rules,yes
B-04,Navigation,"src/lib/public/routes-map.ts; chrome.ts navItems()",PublicNavConfigItem[],"header nav; mobile nav; footer",getNavigation(): NavNode[],hide node without route,remaining items render,every target must exist in route tree,partial
B-05,Service categories,src/content/vz-content.ts#categories,"{slug,label,intro}","/diensten; /diensten/$categorie; dropdown; footer; wizard; document tabs",getCategories(): Category[],none,grid omitted; unknown slug 404,slug is a public URL segment,yes
B-06,Services,src/content/vz-content.ts#services (15),ServiceRecord,"category pages; service detail; wizard; related cards","getServices(); getService(category,slug)",none,no cards; detail 404,"category must exist; document filename must match exactly",yes
B-07,Service conditions,ServiceRecord.conditions,readonly string[],"service detail; wizard outcome",part of getService(),none,block omitted,verbatim from governed source,yes
B-08,Service facts,"ServiceRecord.fee/.legalBasis/.processing",optional string,"service detail; wizard outcome",optional fields on service record,none - never estimated,fact row omitted,amounts and citations must be traceable,yes
B-09,Official documents,"src/content/vz-content.ts#documents (17); public/vz-public/documenten/","DocumentRecord {title,file,bytes,sha256,service?,category}","/documentenlijsten; service detail",getDocuments() + URL resolver preserving current paths,none,governed no-documents message,bytes and sha256 must match served file,yes (metadata)
B-10,Document associations,"ServiceRecord.document; documentFor(); DocumentRecord.service/.category","string reference","service detail; documentenlijsten grouping","getDocumentsForService(); getDocumentsForCategory()",none,block omitted,bidirectional consistency,yes
B-11,News/notices,"src/content/index.ts#notices (empty-allowed, [])",GovernedRecordSet<Notice>,"/nieuws; /nieuws/$slug",getNotices(),none,governed empty state (accepted),"ISO publishedAt; publication authority recorded",yes
B-12,FAQ,"src/content/index.ts#faqCategories/#faqItems (missing-blocking, [])",GovernedRecordSet<FaqCategory|FaqItem>,/veelgestelde-vragen,getFaq(),none,pending-answers accordion + CTA,answer requires citeable authoritative record,yes
B-13,Hero content,"chrome.ts#heroSlides (3); CSS classes vz-hero-slide-1..3","{slot,eyebrow,title,lead,ctaHref,ctaLabel}",/,getHeroSlides() + media resolver,first slide only,hero omitted,"one span emphasis; CTA route must exist; slide count change requires re-measuring 768-991px dot offset",yes
B-14,Page metadata,"src/lib/public/seo.ts#publicHead; per-route head()",meta array,every public route,getPageMeta(routeId),current hard-coded strings,n/a,"robots noindex,follow until released; title<60; description<160",yes
B-15,Wizard rules,"liviza-wizard.html.ts; public/vz-public/js/vz-wizard.js","two categorical choices",/aanvraaghulp,getWizardModel() derived from B-05/B-06,restart at step 1,step 2 shows no cards,"no free text, personal data, upload or submission",yes (copy only)
B-16,Wizard outcomes,derived from chosen ServiceRecord,ServiceRecord + DocumentRecord,/aanvraaghulp step 3,reuse getService()/getDocumentsForService(),none,only existing fields render,must never present an eligibility decision,indirect
B-17,Footer content,chrome.ts#footer(),"columns + contact widget + bottom bar",all pages,getFooter(): FooterModel,omit column,column omitted; bottom bar remains,"no newsletter/social/commercial widget",yes
B-18,Media assets,"chrome.ts VZ_IMAGES/categoryImage/stakeholderImages; vz-polish.css backgrounds","file paths in code/CSS","home; categories; services; instanties; hero; page-top",media registry/resolver (proposed, not implemented),documented placeholder per asset type,card renders without image,"provenance + public-use + editorial + privacy review required",yes (after resolver)
